ID,ABRIR_AM,MEDIDOR_ENCONTRADO,MEDIDOR_INSTALADO,CHAVE_AFERICAO_ENCONTRADA,CHAVE_AFERICAO_INSTALADA,TCS_ENCONTRADO,TCS_INSTALADOS,TROCA_CAIXA,POLO,EQUIPE,DATA_SERVICO,HORARIO_INICIO,HORARIO_FIM,OBSERVACAO,COLABORADORA_BAIXA,DATA_BAIXA,NOTA,AM_REMANEJO,ANEXO,OBS,FAIXA
2000505642,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,15/12/2025,,,,,,,,,,
2000439722,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,15/12/2025,,,,,,,,,,
2000433545,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,15/12/2025,,,,,,,,,,
2000484429,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F005M,15/12/2025,,,,,,,,,,
2000506406,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,15/12/2025,,,,,,,,,,
2000429737,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,15/12/2025,,,,,,,,,,
2000439722,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,15/12/2025,,,,,,,,,,
2000433620,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,15/12/2025,,,,,,,,,,
2000443640,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,15/12/2025,,,,,,,,,,
2000436282,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,15/12/2025,,,,,,,,,,
2000505135,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,15/12/2025,,,,,,,,,,
2000452926,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,15/12/2025,,,,,,,,,,
2000440011,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F006M,15/12/2025,,,,,,,,,,
2000484419,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F005M,15/12/2025,,,,,,,,,,
2000507292,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,15/12/2025,,,,,,,,,,
2000474208,,,,,NÃO,SIM,NÃO,NÃO,MARABA,PA-MAB-F007M,15/12/2025,,,,,,,,,,
2000479649,,,,,NÃO,SIM,NÃO,NÃO,PARAUAPEBAS,PA-PAP-F011M,15/12/2025,,,,,,,,,,
2000483570,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000566780,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000842717,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000842644,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
2000842910,,,,,NÃO,SIM,NÃO,NÃO,TUCURUI,PA-TUC-F003M,16/12/2025,,,,,,,,,,
